date,daily_pnl,fg_value,sentiment
2025-03-16,-7910.943544999999,30,Fear
2025-03-17,26163.906513,32,Fear
2025-03-18,72322.788824,34,Fear
2025-03-19,29374.682341,32,Fear
2025-03-20,10246.859436,49,Neutral
2025-03-21,6951.270374,31,Fear
2025-03-22,12498.535254,32,Fear
2025-03-23,14047.421585,30,Fear
2025-03-24,107878.961301,45,Neutral
2025-03-25,32030.90678,46,Neutral
2025-03-26,15802.167427,47,Neutral
2025-03-27,58825.359221,40,Fear
2025-03-28,21337.179335,44,Fear
2025-03-29,12098.872931,26,Fear
2025-03-30,15795.11514,32,Fear
2025-03-31,6978.184557,34,Fear
2025-04-01,-2202.6622420000003,34,Fear
2025-04-02,202212.740938,44,Fear
2025-04-03,-2365.961276,25,Fear
2025-04-04,-25515.678949999998,28,Fear
2025-04-05,35907.33771,30,Fear
2025-04-06,47053.449272,34,Fear
2025-04-07,34527.370305,23,Extreme Fear
2025-04-08,34899.394798,24,Extreme Fear
2025-04-09,43120.444797,18,Extreme Fear
2025-04-10,158261.822261,39,Fear
2025-04-11,126406.479081,25,Fear
2025-04-12,410419.694533,43,Fear
2025-04-13,48696.021521,45,Neutral
2025-04-14,45680.443063,31,Fear
2025-04-15,72357.706282,38,Fear
2025-04-16,58631.730257,29,Fear
2025-04-17,5427.919886,30,Fear
2025-04-18,4880.4047439999995,33,Fear
2025-04-19,71950.577495,32,Fear
2025-04-20,25060.341936,37,Fear
2025-04-21,34369.267906999994,39,Fear
2025-04-22,58652.763578,47,Neutral
2025-04-23,-419020.225731,72,Greed
2025-04-24,50704.395965,63,Greed
2025-04-25,20218.859206,60,Greed
2025-04-26,-4125.753942,65,Greed
2025-04-27,2702.067468,61,Greed
2025-04-28,36906.813759,54,Neutral
2025-04-29,125749.613427,60,Greed
2025-04-30,14003.797269,56,Greed
2025-05-01,54536.829297000004,53,Neutral
